epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.61,41.249,107.33706271648407,39.0,1.0844178199768066,49.081,101.45966720581055,47.6,1.0274463891983032,56.941,91.24493682384491,56.5,0.916456401348114
0.62,41.097,107.45501399040222,40.5,1.0787338018417358,49.976,100.65522801876068,49.8,1.0142759084701538,56.767,91.62073916196823,57.8,0.9109168648719788
0.63,42.178,106.9977400302887,40.2,1.0865510702133179,49.822,100.90771335363388,48.6,1.018649697303772,56.874,91.40594846010208,55.5,0.9210439920425415
0.64,42.551,106.916060090065,42.2,1.0910879373550415,49.242,101.46484035253525,48.6,1.0246373414993286,57.103,91.28849083185196,56.8,0.9199402928352356
0.65,42.528,107.02971494197845,40.1,1.09000825881958,50.036,100.6152154803276,50.3,1.0092562437057495,56.755,91.38529223203659,57.1,0.9236363768577576
0.66,42.459,106.8381165266037,40.9,1.0900006294250488,49.427,101.10520899295807,47.2,1.0224064588546753,56.547,91.49872946739197,54.9,0.9276601076126099
0.67,42.856,106.57979023456573,41.0,1.0834869146347046,48.56,102.15124100446701,47.7,1.0228971242904663,57.006,90.74349057674408,57.6,0.9119217395782471
0.68,41.662,107.15173256397247,40.2,1.0814433097839355,50.143,100.4812006354332,49.6,1.0165213346481323,57.271,90.49826341867447,57.0,0.9187792539596558
0.69,42.942,106.53687059879303,41.0,1.078938364982605,50.275,100.58019798994064,51.1,1.0010536909103394,57.21,90.96431624889374,57.4,0.9119518399238586
0.7,42.608,106.17320334911346,40.7,1.0767903327941895,49.256,101.25272619724274,48.7,1.0254533290863037,57.359,90.70661151409149,55.3,0.9162765741348267
0.71,42.718,105.93808424472809,40.5,1.070724606513977,49.559,101.070760846138,49.1,1.0193208456039429,57.358,90.53220933675766,56.9,0.9068004488945007
0.72,42.653,106.00611174106598,40.3,1.0740077495574951,50.306,100.36808145046234,48.3,1.0166006088256836,57.405,90.66302740573883,57.3,0.9195688366889954
