epoch,hidden_size_50_train_acc,hidden_size_50_train_loss,hidden_size_50_val_acc,hidden_size_50_val_loss,hidden_size_100_train_acc,hidden_size_100_train_loss,hidden_size_100_val_acc,hidden_size_100_val_loss,hidden_size_250_train_acc,hidden_size_250_train_loss,hidden_size_250_val_acc,hidden_size_250_val_loss,hidden_size_500_train_acc,hidden_size_500_train_loss,hidden_size_500_val_acc,hidden_size_500_val_loss,hidden_size_1000_train_acc,hidden_size_1000_train_loss,hidden_size_1000_val_acc,hidden_size_1000_val_loss
0.62,52.013,98.58058708906174,51.1,0.9992995262145996,55.658,93.3499094247818,56.0,0.9487512111663818,57.271,91.66150522232056,55.2,0.930679976940155,57.333,91.13140726089478,57.0,0.9196853637695312,56.765,91.51846206188202,56.2,0.9130295515060425
0.63,52.581,98.42355608940125,52.2,1.0000088214874268,55.757,93.21464431285858,56.1,0.9518265724182129,57.032,91.62228000164032,56.1,0.9188268780708313,57.399,90.91939747333527,57.6,0.9144594073295593,56.921,91.32584351301193,56.8,0.9171107411384583
0.64,52.645,98.55890148878098,52.0,0.9947203993797302,55.879,93.06445986032486,55.9,0.9498739242553711,57.235,91.38375222682953,55.5,0.9356775283813477,57.314,90.97120410203934,57.0,0.9144636988639832,56.945,91.3578530550003,56.7,0.923270046710968
0.65,52.72,98.39060735702515,51.7,0.9942553639411926,55.625,93.51029998064041,55.6,0.9474323391914368,57.062,91.4029569029808,56.7,0.9294257164001465,57.145,91.06127566099167,57.9,0.9089226722717285,57.169,91.29293459653854,56.9,0.9159542918205261
0.66,52.805,98.03051292896271,52.2,0.9931719899177551,55.493,93.70028364658356,55.7,0.9483852386474609,57.301,91.22417682409286,56.5,0.9341471195220947,57.087,91.05038964748383,57.8,0.9160690903663635,57.136,91.11006182432175,57.2,0.9098260402679443
0.67,52.689,97.75518923997879,52.3,0.9967091083526611,56.145,92.89385741949081,55.8,0.9384387731552124,57.123,91.2498584985733,58.0,0.9235918521881104,57.351,90.57488077878952,56.7,0.9182132482528687,57.06,91.10056871175766,57.2,0.9169855713844299
0.68,52.897,97.75211310386658,52.9,0.995906412601471,56.534,92.42399549484253,56.1,0.9390020966529846,57.281,91.25165349245071,56.2,0.9305816888809204,57.548,90.53701770305634,57.0,0.920292854309082,57.137,90.77548485994339,57.0,0.9111307263374329
0.69,53.687,97.5794922709465,54.4,0.9836957454681396,56.512,92.3893690109253,56.1,0.9367731809616089,57.142,91.22135204076767,57.1,0.9215465784072876,57.417,90.56017273664474,57.5,0.9101495146751404,57.435,90.37647956609726,56.5,0.9098067879676819
0.7,54.132,97.1239383816719,54.2,0.9859747886657715,55.998,92.53457319736481,55.2,0.941264271736145,57.509,90.8660643696785,56.6,0.9254038333892822,57.678,90.37225067615509,57.6,0.9160650372505188,57.401,90.48976141214371,56.0,0.9086945056915283
0.71,53.472,96.87595039606094,53.0,0.9916428327560425,56.387,92.47165411710739,56.3,0.9365848302841187,57.606,90.98246145248413,56.1,0.9371720552444458,57.755,90.21930533647537,58.4,0.9031010270118713,57.386,90.66375607252121,57.3,0.9128855466842651
0.72,53.0,96.84582304954529,51.6,0.9807829856872559,56.632,92.08470922708511,56.5,0.9288486242294312,57.579,90.77503675222397,57.5,0.9117945432662964,57.605,90.59754478931427,57.2,0.925963282585144,57.352,90.81322985887527,58.7,0.9004040956497192
0.73,52.751,96.9748603105545,50.8,0.9820933938026428,56.838,91.96371221542358,57.2,0.9235556125640869,57.58,90.74045276641846,55.6,0.9284101724624634,57.679,90.34622472524643,58.1,0.9117488861083984,57.671,89.9482232928276,58.5,0.9051759839057922
0.74,52.804,96.94441747665405,51.8,0.9839237928390503,57.125,91.79206949472427,58.7,0.9223098754882812,57.777,90.56542658805847,56.8,0.9289802312850952,57.86,89.9963852763176,58.0,0.9177554845809937,57.461,90.2773454785347,56.9,0.9112374186515808
0.75,52.968,96.66569858789444,52.2,0.9724701046943665,57.085,91.74416637420654,56.6,0.9254289865493774,57.821,90.47688150405884,56.0,0.924615740776062,57.765,90.25825434923172,57.9,0.9062448740005493,57.475,90.19387739896774,55.7,0.9040610194206238
0.76,53.761,96.04797786474228,53.2,0.9665907621383667,56.932,91.7051631808281,56.3,0.9337634444236755,57.761,90.4428219795227,57.5,0.9141734838485718,58.001,89.99299103021622,59.0,0.903447687625885,57.72,89.9371041059494,57.2,0.8993303179740906
0.77,54.446,95.76690322160721,54.8,0.965612530708313,56.947,91.55961900949478,57.3,0.9230404496192932,58.136,90.1876904964447,55.9,0.9208852052688599,58.282,89.45124047994614,56.1,0.9141539931297302,57.761,90.23343282938004,57.1,0.8905477523803711
0.78,54.208,96.32675808668137,53.9,0.9786451458930969,57.112,91.40093320608139,56.0,0.9263671636581421,58.179,90.21358740329742,58.5,0.9159359335899353,58.073,89.67525261640549,57.2,0.90975022315979,57.343,90.69988119602203,56.7,0.9072721600532532
0.79,53.93,96.48150080442429,54.8,0.983571469783783,57.358,91.24389547109604,56.5,0.9252421855926514,58.107,90.30016231536865,57.2,0.922812283039093,57.295,90.67202234268188,56.5,0.9156712889671326,57.483,90.39836859703064,57.8,0.9019582271575928
0.8,53.981,96.26730686426163,54.4,0.9843467473983765,57.472,91.20834046602249,56.9,0.9254282116889954,58.132,90.13676053285599,57.5,0.9073516130447388,57.571,90.42651319503784,57.7,0.9067916870117188,57.88,89.77088713645935,57.9,0.8896912336349487
0.81,54.587,95.52209776639938,54.5,0.9688777327537537,57.394,91.19912391901016,57.8,0.9182825088500977,58.18,89.94631516933441,57.3,0.9095954298973083,58.38,89.44468629360199,58.4,0.9071735739707947,57.82,89.9233677983284,56.8,0.9081901907920837
0.82,54.966,94.9624695777893,54.9,0.9593203663825989,57.441,91.10139393806458,57.5,0.9182180762290955,58.453,89.81423753499985,58.0,0.9109649062156677,58.355,89.45403361320496,57.2,0.9024766683578491,57.76,89.97877246141434,57.4,0.9029043912887573
0.83,54.988,95.07788556814194,55.9,0.9506813883781433,57.445,91.00414872169495,56.6,0.9239723086357117,58.541,89.69974207878113,57.3,0.9083271622657776,58.036,89.94906044006348,57.4,0.911575973033905,58.174,89.47514992952347,58.4,0.8923105597496033
0.84,54.834,95.094642162323,54.4,0.9608572721481323,57.105,91.2023276090622,56.6,0.9218617677688599,58.429,89.80233889818192,57.1,0.9108337759971619,58.061,89.92063593864441,57.9,0.9010236263275146,58.252,89.1069883108139,58.5,0.9017540216445923
0.85,54.904,95.07447201013565,55.4,0.9595127105712891,56.874,91.21783673763275,56.6,0.9329972863197327,58.296,89.8919587135315,57.5,0.9127694368362427,58.349,89.28867143392563,57.1,0.9008170366287231,58.062,89.12785774469376,56.7,0.9073125720024109
0.86,55.279,94.66472923755646,55.0,0.9535590410232544,57.181,90.97083669900894,56.4,0.9236862659454346,58.693,89.4515711069107,58.1,0.905411422252655,58.39,89.21406704187393,59.8,0.8960219025611877,58.033,89.37517958879471,56.6,0.9064221978187561
0.87,55.5,94.21343874931335,55.4,0.9506768584251404,57.359,90.80406981706619,57.5,0.9191490411758423,58.422,89.72478801012039,58.9,0.8952900171279907,58.066,89.75452077388763,56.6,0.912090539932251,58.344,89.19682824611664,57.2,0.9017247557640076
0.88,55.477,94.07979089021683,55.8,0.9424851536750793,57.578,90.52464032173157,56.6,0.9217877388000488,58.098,90.03660494089127,57.7,0.9027027487754822,58.153,89.80466550588608,57.8,0.9127259254455566,58.518,88.8926106095314,56.9,0.9080140590667725
0.89,55.421,93.98942166566849,56.5,0.9523670077323914,57.807,90.36367702484131,57.5,0.9140967130661011,58.143,89.8636748790741,58.2,0.9075667262077332,58.677,89.09064358472824,56.7,0.9034782648086548,58.312,88.97481143474579,57.1,0.9031476378440857
0.9,55.414,93.93571484088898,56.5,0.9436484575271606,57.962,90.27594494819641,57.3,0.9200936555862427,58.666,89.2058225274086,59.5,0.9051622152328491,58.801,88.8668549656868,58.1,0.8877546191215515,58.742,88.46838867664337,57.7,0.8972885608673096
0.91,55.528,93.85423737764359,56.7,0.9407495260238647,58.002,90.47991293668747,57.7,0.9100244045257568,58.825,89.24218779802322,57.8,0.9085944294929504,58.623,88.95871943235397,56.9,0.9056712985038757,58.558,88.67443704605103,56.8,0.8935709595680237
0.92,55.796,93.55610001087189,56.4,0.9417557120323181,57.967,90.4538094997406,56.7,0.9088420271873474,58.564,89.45234704017639,57.1,0.9106990694999695,58.356,89.26176196336746,57.4,0.8953115940093994,58.636,88.58354783058167,57.2,0.8969569206237793
0.93,55.891,93.45661014318466,55.1,0.9477795958518982,58.158,90.2049286365509,58.3,0.902128279209137,58.792,89.34134817123413,58.9,0.9031182527542114,58.582,88.73306673765182,57.1,0.9008473753929138,58.789,88.54425585269928,57.7,0.8945002555847168
0.94,55.962,93.40356028079987,56.1,0.9472795128822327,58.099,90.03855460882187,58.6,0.9049655199050903,58.998,89.06416893005371,57.7,0.899161696434021,59.171,88.16064143180847,58.1,0.889384925365448,58.884,88.38967126607895,58.3,0.8902973532676697
0.95,56.079,93.27431637048721,57.4,0.9349331259727478,58.086,89.92431265115738,57.6,0.9194885492324829,58.762,89.14642536640167,58.7,0.8991527557373047,59.031,88.41480845212936,58.4,0.8927037119865417,59.126,88.35904395580292,57.6,0.8932039737701416
0.96,56.158,93.12833720445633,55.3,0.9336832761764526,57.985,90.02699279785156,57.1,0.9168899655342102,58.578,89.22108507156372,58.3,0.9013506174087524,58.628,88.8547232747078,56.2,0.9049715399742126,58.922,88.2554104924202,58.3,0.8810579776763916
0.97,56.132,92.93906146287918,56.8,0.9383980631828308,57.953,90.18719601631165,57.1,0.914649486541748,58.836,89.07342445850372,58.4,0.9088420271873474,58.25,89.22029167413712,57.0,0.903340220451355,59.153,88.04004389047623,57.8,0.8858200311660767
0.98,56.233,92.83452904224396,56.3,0.9455547332763672,58.149,89.96482527256012,57.8,0.915120005607605,58.944,89.06440371274948,58.2,0.9030451774597168,58.11,89.32140415906906,56.3,0.9096562266349792,59.109,87.83621633052826,58.4,0.886528491973877
0.99,56.005,92.87817060947418,55.3,0.9454780220985413,58.346,89.73266857862473,58.4,0.9142374396324158,59.019,89.07478702068329,59.9,0.8989514112472534,58.356,89.07780957221985,55.8,0.9088230133056641,59.034,87.80105650424957,57.0,0.8959664106369019
1.01,56.085,92.90717655420303,54.4,0.9462007284164429,58.535,89.50557053089142,57.7,0.9045421481132507,59.117,88.68278259038925,58.0,0.8970432877540588,58.712,88.67276108264923,57.2,0.9018003940582275,58.766,88.03918123245239,57.1,0.8956018686294556
1.02,56.297,92.52528494596481,56.2,0.943513035774231,58.524,89.52295207977295,57.2,0.9113984107971191,58.882,88.70927661657333,57.5,0.9151898622512817,58.655,88.74869740009308,59.2,0.8910474181175232,58.974,87.74976360797882,56.9,0.8931031227111816
1.03,56.626,92.35019487142563,57.7,0.938249945640564,58.464,89.44712537527084,58.2,0.9105914831161499,58.862,88.80786800384521,57.9,0.9007152915000916,58.492,88.70541822910309,58.1,0.8955869674682617,58.901,87.85573744773865,58.6,0.8886984586715698
1.04,56.548,92.31477117538452,57.9,0.9269526600837708,58.4,89.39976966381073,59.7,0.9044274091720581,59.063,88.53160279989243,57.7,0.8990365266799927,58.656,88.42634677886963,57.8,0.8926962614059448,59.272,87.46759748458862,57.6,0.8903571963310242
