epoch,dropout_0_train_acc,dropout_0_train_loss,dropout_0_val_acc,dropout_0_val_loss,dropout_0.1_train_acc,dropout_0.1_train_loss,dropout_0.1_val_acc,dropout_0.1_val_loss,dropout_0.3_train_acc,dropout_0.3_train_loss,dropout_0.3_val_acc,dropout_0.3_val_loss,dropout_0.5_train_acc,dropout_0.5_train_loss,dropout_0.5_val_acc,dropout_0.5_val_loss,dropout_0.7_train_acc,dropout_0.7_train_loss,dropout_0.7_val_acc,dropout_0.7_val_loss,dropout_0.9_train_acc,dropout_0.9_train_loss,dropout_0.9_val_acc,dropout_0.9_val_loss
0.25,55.243,94.71481597423553,55.4,0.9554582238197327,53.62,97.01493054628372,53.3,0.981653094291687,52.736,97.7683100104332,52.1,0.9822470545768738,47.894,102.3032294511795,46.8,1.0227006673812866,47.965,106.92630565166473,48.3,1.0706192255020142,33.194,109.84801161289215,33.8,1.0984742641448975
0.26,55.716,94.10275769233704,56.0,0.9479671120643616,53.551,96.60521751642227,53.2,0.9775251746177673,53.573,96.903673350811,52.3,0.9726194739341736,48.183,101.82722294330597,47.3,1.0184506177902222,48.105,106.38053071498871,48.2,1.065425992012024,33.214,109.84608697891235,33.6,1.0984638929367065
0.27,56.191,93.74882090091705,57.2,0.9430347681045532,54.667,95.50621289014816,55.6,0.9651551842689514,53.289,96.68550777435303,53.0,0.9679691791534424,48.235,101.48474657535553,47.6,1.016654372215271,47.624,105.77216172218323,46.7,1.059733271598816,33.232,109.84299087524414,33.7,1.098436713218689
0.28,56.64,92.8695941567421,56.5,0.936404287815094,54.353,95.55640262365341,55.1,0.9640406370162964,53.714,96.17481285333633,53.9,0.9628768563270569,48.256,101.32655835151672,48.2,1.01552414894104,47.443,105.19636833667755,46.0,1.054362177848816,33.25,109.83982491493225,33.7,1.0984083414077759
0.29,56.608,92.58853191137314,55.9,0.9352762699127197,54.821,94.81039822101593,56.1,0.9579668641090393,54.839,95.08502167463303,55.8,0.9538146257400513,49.184,100.6583845615387,48.4,1.0069960355758667,47.799,104.64029109477997,46.9,1.0487812757492065,33.337,109.83674800395966,33.8,1.098386287689209
0.3,56.829,92.05002981424332,55.9,0.9310784935951233,55.253,94.33135503530502,56.7,0.953598141670227,54.993,94.68735253810883,55.2,0.9480710029602051,49.604,100.56922489404678,49.1,1.0040638446807861,47.919,104.04659843444824,48.0,1.0425368547439575,33.689,109.83398222923279,34.1,1.0983684062957764
0.31,57.152,91.534115254879,56.5,0.9256872534751892,55.742,93.89346647262573,57.0,0.9479390978813171,54.336,94.78536242246628,54.4,0.949846088886261,49.221,101.03747999668121,49.7,1.007483720779419,47.618,103.50092351436615,47.1,1.036698818206787,35.247,109.83125638961792,34.8,1.0983538627624512
0.32,57.207,91.28069114685059,56.2,0.9238897562026978,55.334,93.93151777982712,56.7,0.9491143226623535,54.927,94.0643572807312,55.3,0.9449124932289124,50.246,100.34115725755692,51.5,1.0015839338302612,47.297,103.04427397251129,46.6,1.0318989753723145,37.893,109.82823991775513,36.6,1.0983357429504395
0.33,57.503,90.962371468544,56.6,0.9213826060295105,55.917,93.3401290178299,56.5,0.9447036981582642,56.013,93.17147767543793,56.3,0.9368669986724854,51.259,99.5881290435791,52.4,0.9963184595108032,47.386,102.62234032154083,46.8,1.027648687362671,41.224,109.8249876499176,38.2,1.0983163118362427
0.34,57.684,90.88175797462463,56.7,0.922804594039917,56.281,92.72062969207764,56.4,0.9378203749656677,56.313,92.90582287311554,56.5,0.9348253607749939,50.708,99.84101742506027,51.8,1.00124192237854,47.474,102.24235898256302,47.3,1.0240761041641235,43.348,109.82155859470367,42.9,1.098296880722046
