epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.83,53.147,97.6043718457222,53.2,0.9773383140563965,55.928,94.29972237348557,56.3,0.9427488446235657,61.987,84.06651371717453,60.7,0.8636472225189209
0.84,52.556,97.76721185445786,50.9,0.9766196012496948,55.861,94.22247403860092,54.4,0.9415884613990784,62.47,83.35629105567932,60.3,0.8555387854576111
0.85,53.879,96.60183548927307,52.2,0.9671446084976196,56.03,94.12163323163986,56.1,0.9415009617805481,62.813,83.06755268573761,61.4,0.8494791984558105
0.86,53.368,97.00429183244705,53.2,0.9763654470443726,56.054,94.13373118638992,56.1,0.9421197175979614,62.452,83.66041868925095,61.3,0.8526512384414673
0.87,53.142,97.54395872354507,53.2,0.9847990274429321,56.196,93.94248163700104,56.1,0.9386846423149109,62.703,83.13719183206558,61.0,0.8493170738220215
0.88,53.947,96.64586210250854,53.9,0.9759092926979065,55.851,94.21804213523865,56.1,0.9408743977546692,62.712,82.8406874537468,60.8,0.8513639569282532
0.89,54.162,96.10785907506943,54.0,0.9669248461723328,55.291,94.52524518966675,53.6,0.9419183135032654,62.032,83.7627472281456,59.5,0.8666768670082092
0.9,52.632,97.64408159255981,51.3,0.9766276478767395,56.307,93.61463910341263,56.3,0.9343152046203613,62.311,83.37449526786804,59.4,0.8617135882377625
0.91,54.004,96.06942075490952,53.2,0.9623134732246399,56.399,93.69485884904861,56.2,0.937156617641449,62.799,82.67070150375366,60.6,0.8510972261428833
0.92,53.299,96.67835533618927,53.6,0.9741865396499634,56.27,93.78196877241135,55.4,0.9396698474884033,62.761,83.12647253274918,61.5,0.8521039485931396
0.93,52.598,97.72616356611252,52.4,0.9870219826698303,56.715,93.19336020946503,56.1,0.9326593279838562,62.704,83.27122205495834,60.9,0.8522882461547852
0.94,54.441,95.84828132390976,53.5,0.9672209024429321,56.618,93.1465368270874,55.9,0.9321060180664062,63.121,82.37216001749039,61.4,0.8470910787582397
0.95,54.147,95.8855397105217,53.6,0.9637671709060669,55.683,94.12631636857986,56.5,0.9445916414260864,62.859,82.56061458587646,61.3,0.851199746131897
